"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000157456",157.539663530183,-0.209893226060885,0.333901635788239,-0.628607959842401,0.529605747899085,0.708239527275132
"ENSG00000236204",17.4887005488806,-0.274975971305832,0.437569220023613,-0.628417079453152,0.529730751388263,0.708329797663644
"ENSG00000181997",2.73350888482948,-0.667454861465729,1.06207700962924,-0.628442999344022,0.529713776125524,0.708329797663644
"ENSG00000258744",53.3552720279331,0.229778012357214,0.365843405936162,0.628077501545318,0.529953170771688,0.70851184438366
"ENSG00000099985",5.80324517914884,0.433664468923045,0.69044183652098,0.628097032920553,0.529940376673332,0.70851184438366
"ENSG00000160194",1170.60977115679,0.0884057003798683,0.140742892924456,0.62813616050453,0.529914746479357,0.70851184438366
"ENSG00000262814",101.67976899446,-0.318882327152542,0.507899334567968,-0.627845530500234,0.530105136248893,0.708676555524661
"ENSG00000291180",12.4616690418916,0.315333747841516,0.502347142594073,0.627720795251592,0.530186860131298,0.708747350681215
"ENSG00000246273",197.172752911178,0.195312907895947,0.311188464899537,0.62763543616246,0.530242789279262,0.708783657938971
"ENSG00000224886",5.20666374076263,0.47871878647996,0.762953962228594,0.62745435528196,0.530361447365608,0.708903807440673
"ENSG00000105968",2428.95060373428,-0.0751603761384888,0.119811039364282,-0.627324297805027,0.53044667932267,0.708979267534999
"ENSG00000258099",2.1710885361414,-0.887872522392062,1.4155923201379,-0.627209196999296,0.530522115365076,0.709041627224117
"ENSG00000155111",612.217392516257,0.139385592554423,0.222284242481478,0.627060159543416,0.530619801276922,0.709112091414726
"ENSG00000166333",4580.46703894095,0.14523322211106,0.231616811948073,0.62704093407356,0.530632403187153,0.709112091414726
"ENSG00000112339",910.371638475822,-0.12507744129971,0.199488314728541,-0.626991317611324,0.530664926485829,0.709117090298388
"ENSG00000287963",2.12376170683061,-0.830600321691317,1.32546769581997,-0.626646974732558,0.530890669088713,0.70938026978732
"ENSG00000141556",2591.68617294474,0.141542119395029,0.225902773309999,0.626562114847504,0.530946308595609,0.709416139968004
"ENSG00000142513",19.617298331744,-0.391567361505166,0.625093230851267,-0.626414336581313,0.531043208433627,0.709507132656142
"ENSG00000287966",26.1881664194973,0.509211334286702,0.813194836510834,0.626186138209595,0.531192858242095,0.709633112111931
"ENSG00000182858",861.82472043091,-0.152685525620922,0.243835422750155,-0.626182709217646,0.531195107097789,0.709633112111931
"ENSG00000259462",1.6329456239631,0.742193485683056,1.18600067235203,0.625795164357849,0.531449304001554,0.709895711488088
"ENSG00000229676",6.19906434727922,-0.583554760440862,0.932494114817556,-0.625799939289736,0.531446171671767,0.709895711488088
"ENSG00000270964",18.9306397018898,-0.303357723793571,0.484842310011939,-0.625683273776378,0.531522706304068,0.709955267834823
"ENSG00000272902",21.0080659733405,-0.217464488283243,0.347591769085858,-0.625631869405768,0.531556430250073,0.709961822187523
"ENSG00000166275",611.664866607547,0.123494666575132,0.197425908306536,0.625524115018311,0.531627126263342,0.710017754092805
"ENSG00000183298",2.13330720650044,-0.631096264572386,1.00916972337274,-0.625361869223743,0.531733582248443,0.710028444274231
"ENSG00000233621",312.489095494536,-0.114228287122766,0.182666991642204,-0.625336225750677,0.531750408950109,0.710028444274231
"ENSG00000234618",5.37298666836921,0.413161998454372,0.660632749247015,0.625403446809579,0.531706300494285,0.710028444274231
"ENSG00000212123",101.680383716769,-0.264512459468652,0.422953473002362,-0.625393752156695,0.531712661722204,0.710028444274231
"ENSG00000270100",7.80846714564761,0.50535459108757,0.808432136713763,0.62510453028477,0.53190245481954,0.710192975254119
"ENSG00000258279",30.8438693520011,0.215332021457585,0.344558967315847,0.62494969477952,0.532004075036175,0.710290164020281
"ENSG00000261447",3.228786931987,-0.591503215510572,0.946838110407019,-0.624714202997492,0.532158649690751,0.710458039039289
"ENSG00000120519",167.812707556403,0.185523180318589,0.297067643826549,0.624514935146933,0.532289465051469,0.710550209831867
"ENSG00000248890",16.2659339718015,0.332264666204925,0.532166590123683,0.624362130902848,0.53238978901227,0.710550209831867
"ENSG00000149968",47.2639353248901,0.586158797842031,0.938837284022395,0.624345462006651,0.5324007335916,0.710550209831867
"ENSG00000080824",9533.09582779618,-0.155132137422333,0.248388680283274,-0.624553974220616,0.532263835397515,0.710550209831867
"ENSG00000291044",8.64848933236048,-1.48439750996608,2.37718725678199,-0.624434404875416,0.532342336184359,0.710550209831867
"ENSG00000232560",2.73693484801347,-0.912981082550498,1.46228120295652,-0.624353975626975,0.532395143645562,0.710550209831867
"ENSG00000273055",9.1954001975466,0.488684194619494,0.78301988449596,0.624101896127538,0.532560668754591,0.710725160939648
"ENSG00000101342",19.5512938961432,0.257160552851381,0.412088816792251,0.624041571555251,0.532600284054465,0.71073952975029
"ENSG00000279457",137.706873207203,-0.193265252942808,0.309778109605554,-0.623882859860226,0.532704517550932,0.710809949191142
"ENSG00000263171",2.12483713127591,0.74757447760754,1.1982792091895,0.623873360961668,0.532710756255439,0.710809949191142
"ENSG00000228532",1.56032856426494,0.832376216646967,1.33462791788834,0.623676610904381,0.532839986442274,0.710852566897891
"ENSG00000180694",783.311312549262,0.12850693289863,0.20602001186738,0.623759467509171,0.532785562291058,0.710852566897891
