"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000174844",111.474159236858,5.82941707050875,0.572669030583257,10.1793824341637,2.45111974256572e-24,1.17392990223733e-21
"ENSG00000174514",559.363809871819,-3.20242105955172,0.315962275865804,-10.1354538315576,3.84583555689055e-24,1.80353663303346e-21
"ENSG00000128606",749.760011391221,3.65683513642491,0.360932214914111,10.1316396412415,3.99886895637039e-24,1.83703143281424e-21
"ENSG00000155886",82.6195512022877,5.848360427045,0.579092375870931,10.0991839484146,5.57037817396346e-24,2.50778425391835e-21
"ENSG00000228203",59.8168723330447,4.27841263865574,0.424932331470706,10.0684563677421,7.61640426884164e-24,3.36167176650246e-21
"ENSG00000110492",3786.13207837888,4.31791537519208,0.429284887631389,10.0583912911924,8.43656159062236e-24,3.65205771932518e-21
"ENSG00000157227",22351.8441879136,2.70732947421705,0.270668280808199,10.0023891463497,1.48763932700552e-23,6.31825683979138e-21
"ENSG00000087116",6423.60755453083,4.24651444740252,0.424831006108583,9.99577334597172,1.59040940012659e-23,6.62965103645362e-21
"ENSG00000091656",237.01114377933,3.65699938332189,0.366193843450781,9.98651246798861,1.74617455692564e-23,7.14661623207204e-21
"ENSG00000149380",920.525347265044,5.23107375846881,0.525081867280081,9.96239650316954,2.22630323602272e-23,8.94894390051276e-21
"ENSG00000120820",1058.77976418684,2.70412928439838,0.273505445202555,9.88693034025607,4.74350148618113e-23,1.87326699041995e-20
"ENSG00000101463",147.533226198146,4.65694575924574,0.471579212257284,9.87521425500199,5.33188928560165e-23,2.06932461756712e-20
"ENSG00000151692",1082.02657408038,2.71252745642867,0.27479277143019,9.8711747121695,5.55106598547103e-23,2.11787280225344e-20
"ENSG00000167244",2312.0068927489,4.14233715546959,0.419955249568071,9.86375848314799,5.97692519619681e-23,2.24234310277317e-20
"ENSG00000105464",283.494991535423,3.97114680751465,0.403036782720879,9.85306299019573,6.64862768669112e-23,2.45345261028553e-20
"ENSG00000138316",1081.93209179097,4.6495196756614,0.473758092389848,9.81412191231847,9.78864662050139e-23,3.55391024883042e-20
"ENSG00000116157",637.210012502375,2.95740415915771,0.302124474437747,9.78869442689617,1.25911129502187e-22,4.4988246430067e-20
"ENSG00000117385",2784.25472403942,2.86292236649623,0.293012032528666,9.77066484877595,1.50461424022069e-22,5.29201039802622e-20
"ENSG00000157613",2141.67084746908,3.59417461962214,0.369225985826551,9.73434903715186,2.15191042769752e-22,7.45223134268788e-20
"ENSG00000084636",14469.6435290012,2.56479439815347,0.263570157017802,9.73097420122658,2.22452174407803e-22,7.5869673423025e-20
"ENSG00000183010",1646.50510504607,3.66543476182345,0.379904535370621,9.64830482544142,4.99749813938391e-22,1.67901019578406e-19
"ENSG00000268941",67.3471368072988,5.17949870998467,0.539471838346528,9.60105484998021,7.9130387657834e-22,2.61944856790859e-19
"ENSG00000088882",5836.94749662809,5.31726309710501,0.554791142880849,9.58426096980243,9.31219089607972e-22,3.03793358073557e-19
"ENSG00000120057",104.154890222651,-4.42265156048532,0.466114982985986,-9.48832739113709,2.34770925242445e-21,7.54956218172492e-19
"ENSG00000172986",629.905774415646,3.82995422649631,0.405867977083422,9.43645333642349,3.8561089669534e-21,1.22069928678809e-18
"ENSG00000157168",478.144319620872,3.11519485413674,0.330169227488501,9.43514596388372,3.90450238332929e-21,1.22069928678809e-18
"ENSG00000164626",1756.83179609769,-3.73894156257939,0.396777387769613,-9.42327279182147,4.37242295995358e-21,1.34565212075023e-18
"ENSG00000139971",257.929327751276,2.75013066810055,0.291882469014545,9.42204811883891,4.42373420415446e-21,1.34565212075023e-18
"ENSG00000128656",455.4968380569,2.73900027814898,0.291742183840216,9.38842728225101,6.09028110338364e-21,1.82789636849554e-18
"ENSG00000100196",1330.41658849531,3.11762619211949,0.332572342884699,9.3742797885041,6.96496409811362e-21,2.06291239274392e-18
"ENSG00000147889",112.808325458947,3.55466626657974,0.379843018467297,9.35825089249544,8.10675551594666e-21,2.3699099566748e-18
"ENSG00000117122",2130.10424170112,3.68695330711268,0.394184728590953,9.35336414551626,8.49033289630516e-21,2.45022299353627e-18
